,Brand,Title,Review,Rating,Author Name,Review Date,Views,Like Count,Dislike Count,URL
492,Kia Seltos,Best Feature;,"Based on assumptions provided the facts, it is best understood that Kia Seltos is offering around 35 ply features which No Car manufactures had offered so far and this is best in Industry. I prefer to buy one in Launching period itself especially when we hear that Industry is facing a shut down in all segments like Honda, Hyundai, Maruthi, etc. ",4,Munshid,23-Aug-19,391 Views,0 Likes,3 Dislikes,https://www.cardekho.com/user-review/kia-seltos/best-feature-80572.htm
493,Kia Seltos,Poor Mans Car!,"Kia Seltos - Don't go with the hyp! Kia was crowned as a poor man's car. In India, it is showcasing as a premium car. Fit and finish is not as good as Tata harrier. Noisy cabin, cheap plastic is used. However, it deserves 3 stars for its look. In this price range, you can choose Tata harrier without having a second thought.",2,Anand Rathod,23-Aug-19,3673 Views,7 Likes,11 Dislikes,https://www.cardekho.com/user-review/kia-seltos/poor-mans-car-80554.htm
494,Kia Seltos,Amazing SUV;,"  Kia Seltos is looking amazing and features like sunroof, alloy wheels, tail light, front LED headlamp makes this car awesome.",5,Anonymous,23-Aug-19,26 Views,0 Likes,0 Dislikes,https://www.cardekho.com/user-review/kia-seltos/amazing-suv-80522.htm
495,Kia Seltos,The New Launch: Kia Seltos,Kia is a new company. It has launched its new car Seltos in India. Features of the car are good. Mainly the sound and lights. And the engine's space is also good.,1,User,23-Aug-19,81 Views,3 Likes,10 Dislikes,https://www.cardekho.com/user-review/kia-seltos/the-new-launch-kia-seltos-80597.htm
496,Kia Seltos,Fantastic Car;,Kia Selto is a super car and has good mileage and good boot space.,5,Rahul,23-Aug-19,31 Views,1 Likes,1 Dislikes,https://www.cardekho.com/user-review/kia-seltos/fantastic-car-80553.htm
497,Kia Seltos,Amazing Features And Looks;,Kia Seltos has amazing features with great looks. Car is very stylish in comparison with other SUV segment cars. It is a good option of SUV lover's.,5,Anonymous,23-Aug-19,21 Views,0 Likes,0 Dislikes,https://www.cardekho.com/user-review/kia-seltos/amazing-features-and-looks-80546.htm
498,Kia Seltos,Most Wonderful Car;,"Kia Seltos is an amazing, ultimate car and most wonderful car. The exteriors and interiors are gorgeous.",5,Anonymous,23-Aug-19,19 Views,0 Likes,0 Dislikes,https://www.cardekho.com/user-review/kia-seltos/most-wonderful-car-80482.htm
499,Kia Seltos,King Of Road;,Kia Seltos looks like KIng of Road. Totally satisfied with this car. Fully features loaded car it is.  ,5,Nitin,23-Aug-19,13 Views,1 Likes,0 Dislikes,https://www.cardekho.com/user-review/kia-seltos/king-of-road-80477.htm
500,Kia Seltos,Hakuna Matata;,"Kia Seltos is an excellent car with excellent features. It has powerful A.C., great cabin space with impressive 1.4ltr GT petrol engine.",5,Pratik Linge,22-Aug-19,30 Views,0 Likes,0 Dislikes,https://www.cardekho.com/user-review/kia-seltos/hakuna-matata-80374.htm
501,Kia Seltos,Worst Car;,"Worst experience with Kia Seltos, there is no drive modes in diesel automatic and not good safety features like airbags as it gives only 2 airbags in the top diesel model. Tata Harrier is giving 6 airbags.",2,Nani,22-Aug-19,1731 Views,10 Likes,7 Dislikes,https://www.cardekho.com/user-review/kia-seltos/worst-car-80339.htm
